keyword,intent,volume,keyword_difficulty,cpc,competition_density,target_slug,page_type,priority,primary_cta,internal_links,owner,publish_date,notes
fastapi-mcp,Informational,2400,28,0.00,0.00,/docs/mcp-deployment/fastapi-mcp,docs-leaf,P0,Request MCP audit,"/docs/mcp-deployment|/docs/mcp-deployment/mcp-gateway|/docs/mcp-deployment/kubernetes-mcp-server",Axite,2025-12-24,Maps to fastapi mcp server + mcp fastapi variants
notion mcp,"Informational, Transactional",1000,33,0.08,0.03,/docs/mcp-connectors/notion-mcp,docs-leaf,P0,Request MCP audit,"/docs/mcp-connectors|/docs/mcp-connectors/gmail-mcp|/docs/mcp-connectors/snowflake-mcp",Axite,2025-12-24,Covers Notion MCP connector intent
mcp gateway,Informational,480,16,6.86,0.15,/docs/mcp-deployment/mcp-gateway,docs-leaf,P0,Request MCP audit,"/docs/mcp-deployment|/docs/mcp-security-auth/mcp-authentication|/docs/mcp-deployment/kubernetes-mcp-server",Axite,2025-12-24,
gmail mcp,Informational,390,31,9.32,0.02,/docs/mcp-connectors/gmail-mcp,docs-leaf,P0,Request MCP audit,"/docs/mcp-connectors|/docs/mcp-connectors/outlook-mcp|/docs/mcp-connectors/notion-mcp",Axite,2025-12-24,Covers mcp gmail + mcp server gmail variants
snowflake mcp,Informational,390,41,5.18,0.05,/docs/mcp-connectors/snowflake-mcp,docs-leaf,P0,Request MCP audit,"/docs/mcp-connectors|/docs/mcp-deployment/mcp-gateway|/docs/mcp-connectors/notion-mcp",Axite,2025-12-24,
mcp authentication,"Informational, Transactional",320,34,5.77,0.12,/docs/mcp-security-auth/mcp-authentication,docs-leaf,P0,Request MCP audit,"/docs/mcp-security-auth|/docs/mcp-deployment/mcp-gateway|/docs/mcp-deployment/mcp-filesystem",Axite,2025-12-24,
mcp filesystem,"Commercial, Informational",210,23,3.63,0.02,/docs/mcp-deployment/mcp-filesystem,docs-leaf,P0,Request MCP audit,"/docs/mcp-deployment|/docs/mcp-security-auth/mcp-authentication|/docs/mcp-deployment/kubernetes-mcp-server",Axite,2025-12-24,Also targets file system mcp server + mcp filesystem server
kubernetes mcp server,"Informational, Transactional",170,32,6.73,0.21,/docs/mcp-deployment/kubernetes-mcp-server,docs-leaf,P0,Request MCP audit,"/docs/mcp-deployment|/docs/mcp-deployment/mcp-gateway|/docs/mcp-deployment/mcp-filesystem",Axite,2025-12-24,Covers kubernetes mcp + mcp kubernetes variants
outlook mcp,Informational,170,25,7.89,0.03,/docs/mcp-connectors/outlook-mcp,docs-leaf,P0,Request MCP audit,"/docs/mcp-connectors|/docs/mcp-connectors/gmail-mcp|/docs/mcp-connectors/calendar-mcp",Axite,2025-12-24,Covers outlook mcp server variant
nextjs mcp,Informational,110,36,0.00,0.00,/docs/mcp-deployment/nextjs-mcp,docs-leaf,P0,Request MCP audit,"/docs/mcp-deployment|/docs/mcp-deployment/fastapi-mcp|/docs/mcp-deployment/mcp-gateway",Axite,2025-12-24,Covers nextjs mcp server variant
mcp connectors,Informational,90,17,1.53,0.07,/docs/mcp-connectors,docs-hub,P1,Request MCP audit,"/docs/mcp-connectors/gmail-mcp|/docs/mcp-connectors/notion-mcp|/docs/mcp-connectors/snowflake-mcp",Axite,2025-12-26,Hub page to satisfy overview intent
mcp google calendar,"Informational, Transactional",50,2,0.00,0.00,/docs/mcp-connectors/calendar-mcp,docs-leaf,P2,Request MCP audit,"/docs/mcp-connectors|/docs/mcp-connectors/outlook-mcp|/docs/mcp-connectors/gmail-mcp",Axite,2026-01-05,Secondary connector intent
